condition,seed,numeric/scale_consistency,numeric/cpk,numeric/stats_impl,numeric/discrete_continuous,numeric/overall,path_indep/agreement,path_indep/dispersion,path_indep/n_problems
A,0,1.0,0.0,0.2857142857142857,0.21428571428571427,0.375,0.7189542483660131,0.12689876627675895,51.0
A,1,1.0,0.0,0.35714285714285715,0.21428571428571427,0.39285714285714285,0.7254901960784313,0.13189015664067516,51.0
A,2,1.0,0.0,0.5,0.35714285714285715,0.4642857142857143,0.6993464052287581,0.15678742797888154,51.0
B,0,1.0,0.0,0.35714285714285715,0.2857142857142857,0.4107142857142857,0.7516339869281046,0.14642568439530798,51.0
B,1,1.0,0.0,0.2857142857142857,0.2857142857142857,0.39285714285714285,0.764705882352941,0.12507195679688732,51.0
B,2,1.0,0.0,0.5,0.2857142857142857,0.44642857142857145,0.7581699346405228,0.14095254357318732,51.0
C,0,1.0,0.0,0.5,0.21428571428571427,0.42857142857142855,0.7254901960784313,0.1333478821589932,51.0
C,1,1.0,0.0,0.5,0.2857142857142857,0.44642857142857145,0.784313725490196,0.10158028344916936,51.0
C,2,1.0,0.0,0.42857142857142855,0.21428571428571427,0.4107142857142857,0.7581699346405228,0.1494787220161426,51.0
D,0,1.0,0.0,0.5714285714285714,0.35714285714285715,0.48214285714285715,0.7189542483660131,0.12302342257181265,51.0
D,1,1.0,0.0,0.42857142857142855,0.21428571428571427,0.4107142857142857,0.7058823529411766,0.13748619698370182,51.0
D,2,1.0,0.0,0.5,0.21428571428571427,0.42857142857142855,0.7189542483660131,0.1497833228774654,51.0
E,0,1.0,0.0,0.5714285714285714,0.21428571428571427,0.44642857142857145,0.7450980392156862,0.1450217875096249,51.0
E,1,1.0,0.0,0.2857142857142857,0.21428571428571427,0.375,0.7320261437908497,0.11203022159595039,51.0
E,2,1.0,0.0,0.42857142857142855,0.35714285714285715,0.44642857142857145,0.7189542483660132,0.12155647475659306,51.0
