condition,metric,n,mean,stdev,min,max
A,numeric/scale_consistency,3,1.0,0.0,1.0,1.0
A,numeric/cpk,3,0.0,0.0,0.0,0.0
A,numeric/stats_impl,3,0.38095238095238093,0.1091089451179962,0.2857142857142857,0.5
A,numeric/discrete_continuous,3,0.2619047619047619,0.08247860988423227,0.21428571428571427,0.35714285714285715
A,numeric/overall,3,0.4107142857142857,0.047245559126153414,0.375,0.4642857142857143
A,path_indep/agreement,3,0.7145969498910675,0.01360566012722964,0.6993464052287581,0.7254901960784313
A,path_indep/dispersion,3,0.1385254502987719,0.01601103888049949,0.12689876627675895,0.15678742797888154
A,path_indep/n_problems,3,51.0,0.0,51.0,51.0
B,numeric/scale_consistency,3,1.0,0.0,1.0,1.0
B,numeric/cpk,3,0.0,0.0,0.0,0.0
B,numeric/stats_impl,3,0.38095238095238093,0.1091089451179962,0.2857142857142857,0.5
B,numeric/discrete_continuous,3,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857
B,numeric/overall,3,0.4166666666666667,0.027277236279499066,0.39285714285714285,0.44642857142857145
B,path_indep/agreement,3,0.7581699346405228,0.006535947712418222,0.7516339869281046,0.764705882352941
B,path_indep/dispersion,3,0.1374833949217942,0.011091513190768204,0.12507195679688732,0.14642568439530798
B,path_indep/n_problems,3,51.0,0.0,51.0,51.0
C,numeric/scale_consistency,3,1.0,0.0,1.0,1.0
C,numeric/cpk,3,0.0,0.0,0.0,0.0
C,numeric/stats_impl,3,0.47619047619047616,0.04123930494211614,0.42857142857142855,0.5
C,numeric/discrete_continuous,3,0.23809523809523808,0.041239304942116126,0.21428571428571427,0.2857142857142857
C,numeric/overall,3,0.42857142857142855,0.017857142857142877,0.4107142857142857,0.44642857142857145
C,path_indep/agreement,3,0.75599128540305,0.029472220606685536,0.7254901960784313,0.784313725490196
C,path_indep/dispersion,3,0.12813562920810173,0.024370900473855803,0.10158028344916936,0.1494787220161426
C,path_indep/n_problems,3,51.0,0.0,51.0,51.0
D,numeric/scale_consistency,3,1.0,0.0,1.0,1.0
D,numeric/cpk,3,0.0,0.0,0.0,0.0
D,numeric/stats_impl,3,0.5,0.07142857142857142,0.42857142857142855,0.5714285714285714
D,numeric/discrete_continuous,3,0.2619047619047619,0.08247860988423227,0.21428571428571427,0.35714285714285715
D,numeric/overall,3,0.44047619047619047,0.037172607133323814,0.4107142857142857,0.48214285714285715
D,path_indep/agreement,3,0.7145969498910676,0.007547062342347958,0.7058823529411766,0.7189542483660131
D,path_indep/dispersion,3,0.13676431414432663,0.013394547480876573,0.12302342257181265,0.1497833228774654
D,path_indep/n_problems,3,51.0,0.0,51.0,51.0
E,numeric/scale_consistency,3,1.0,0.0,1.0,1.0
E,numeric/cpk,3,0.0,0.0,0.0,0.0
E,numeric/stats_impl,3,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.5714285714285714
E,numeric/discrete_continuous,3,0.2619047619047619,0.08247860988423227,0.21428571428571427,0.35714285714285715
E,numeric/overall,3,0.4226190476190476,0.04123930494211614,0.375,0.44642857142857145
E,path_indep/agreement,3,0.7320261437908497,0.0130718954248365,0.7189542483660132,0.7450980392156862
E,path_indep/dispersion,3,0.12620282795405613,0.016979467126083905,0.11203022159595039,0.1450217875096249
E,path_indep/n_problems,3,51.0,0.0,51.0,51.0
